image_id,file_name,ground_truth_instances,predicted_instances,true_positives,false_positives,false_negatives,precision,recall,average_iou,average_dice,tp_pixels,fp_pixels,fn_pixels,tn_pixels
0,session_001_frame_0058_jpg.rf.57AKtLrZNC2QUnN7zO38.jpg,2,4,2,2,0,0.5,1.0,0.8917,0.9427,26191,4090,2698,197421
1,session_001_frame_0025_jpg.rf.1R8qckYYaqUIiUgdVjDi.jpg,3,3,3,0,0,1.0,1.0,0.8982,0.9463,28903,861,2387,198249
2,session_002_frame_0267_jpg.rf.6ey366qXANhsaNQyNfSQ.jpg,54,60,48,12,6,0.8,0.8889,0.6942,0.8168,164347,46185,20467,1842601
3,session_001_frame_0009_jpg.rf.E037xYllATx9fp7w6sOK.jpg,3,5,3,2,0,0.6,1.0,0.8826,0.9373,29348,1691,2400,196961
4,session_002_frame_0001_jpg.rf.4MGGmVksR1IqCjBqmccB.jpg,45,52,39,13,6,0.75,0.8667,0.712,0.8285,159649,28072,31289,1854590
5,session_002_frame_0223_jpg.rf.JbiTF3ZxfFUu6o8XozkW.jpg,33,39,31,8,2,0.7949,0.9394,0.7533,0.8575,118787,27479,16840,1910494
6,session_001_frame_0042_jpg.rf.Lp9EdKffaNXKCjOyKieY.jpg,4,4,4,0,0,1.0,1.0,0.813,0.8942,28371,818,3009,198202
7,session_002_frame_0356_jpg.rf.ITiQP4n2CE3J1KWE1oy7.jpg,45,46,39,7,6,0.8478,0.8667,0.7427,0.8488,157605,21670,24501,1869824
8,session_001_frame_0050_jpg.rf.K7XHDmir0Jy70s0BSaMg.jpg,2,4,2,2,0,0.5,1.0,0.893,0.9435,25914,3956,2255,198275
9,session_001_frame_0017_jpg.rf.RINN3I2tGr8UWhTv10tV.jpg,3,3,3,0,0,1.0,1.0,0.9002,0.9474,28857,732,2406,198405
10,session_001_frame_0066_jpg.rf.O7na1WMxi0BEwLjJ4Jhw.jpg,2,6,2,4,0,0.3333,1.0,0.8924,0.9431,26060,4284,2251,197805
11,session_002_frame_0178_jpg.rf.LxE2rPC1dSdETqBzXUR2.jpg,42,40,35,5,7,0.875,0.8333,0.7213,0.8347,128950,29202,17439,1898009
12,session_002_frame_0401_jpg.rf.eg6hLdToq5kvZ7PnqbkX.jpg,48,50,42,8,6,0.84,0.875,0.683,0.8091,128010,43306,10736,1891548
13,session_002_frame_0045_jpg.rf.DmJRUhYC5Rxp1VxBBqb7.jpg,48,53,47,6,1,0.8868,0.9792,0.7609,0.8604,189913,31069,28353,1824265
14,session_001_frame_0033_jpg.rf.lHx9nmBiyaSvTtlqQW20.jpg,3,5,3,2,0,0.6,1.0,0.8716,0.9308,29781,1564,2546,196509
15,session_002_frame_0089_jpg.rf.o6PDw2DWBmyT5HOgRoHH.jpg,21,24,20,4,1,0.8333,0.9524,0.7212,0.8342,72925,18527,14458,1967690
16,session_002_frame_0134_jpg.rf.wcJGBHX3IYRYdXuFYWFt.jpg,18,20,16,4,2,0.8,0.8889,0.7161,0.8334,67215,39644,18779,1947962
17,session_001_frame_0075_jpg.rf.bINuzkMS155iSIgKk1Q9.jpg,3,4,3,1,0,0.75,1.0,0.8498,0.9166,28735,1019,2630,198016
18,session_001_frame_0001_jpg.rf.tyHzojMv6tVTPy9VGBVC.jpg,3,5,3,2,0,0.6,1.0,0.8252,0.9008,28250,2316,2838,196996
19,session_002_frame_0312_jpg.rf.xGG3e4AAQ5U155Vl6pXE.jpg,42,45,36,9,6,0.8,0.8571,0.7158,0.8312,136756,34911,21089,1880844
