tracker_id,class_name,first_frame,last_frame,observations,duration_seconds,average_confidence
1,car,1,75,74,2.47,0.7698
2,car,1,75,74,2.47,0.7832
3,person,1,2,2,0.07,0.6418
4,car,1,75,75,2.5,0.7663
5,car,1,75,75,2.5,0.7341
6,person,1,31,27,0.9,0.6566
7,person,1,31,5,0.17,0.626
8,car,1,75,70,2.33,0.6786
9,person,1,43,8,0.27,0.6556
10,person,1,30,8,0.27,0.5969
11,person,1,34,7,0.23,0.5823
12,person,1,26,16,0.53,0.5856
13,car,1,75,26,0.87,0.5219
14,traffic light,1,75,52,1.73,0.7736
15,car,1,75,39,1.3,0.5695
16,person,1,2,2,0.07,0.5845
17,person,1,21,4,0.13,0.5279
18,person,5,7,2,0.07,0.518
19,person,6,16,4,0.13,0.6146
20,person,8,10,2,0.07,0.6323
21,person,12,14,2,0.07,0.5627
22,person,18,21,2,0.07,0.5088
23,car,22,29,8,0.27,0.9021
24,person,23,53,22,0.73,0.5886
25,person,23,66,12,0.4,0.5669
26,person,27,58,5,0.17,0.5475
27,person,31,39,2,0.07,0.5472
28,person,31,63,4,0.13,0.5859
29,car,54,54,1,0.03,0.8997
30,car,37,37,1,0.03,0.5338
31,person,39,54,15,0.5,0.6474
32,car,41,41,1,0.03,0.8239
33,car,41,41,1,0.03,0.8549
34,person,46,73,13,0.43,0.5922
35,person,47,55,2,0.07,0.5527
36,person,49,54,2,0.07,0.5888
37,person,49,72,5,0.17,0.6252
38,person,50,68,4,0.13,0.6136
39,car,52,71,5,0.17,0.8001
40,person,54,75,3,0.1,0.6687
41,person,56,70,2,0.07,0.5397
42,person,57,73,11,0.37,0.5564
43,person,58,71,4,0.13,0.5173
44,person,58,74,7,0.23,0.5165
45,person,59,60,2,0.07,0.6863
46,person,65,65,1,0.03,0.6994
47,person,68,69,2,0.07,0.6934
48,person,70,70,1,0.03,0.7208
49,person,71,73,3,0.1,0.5385
50,person,71,73,3,0.1,0.6233
51,person,75,75,1,0.03,0.5668
52,person,75,75,1,0.03,0.7494
