tracker_id,first_frame,last_frame,frames_observed,duration_seconds,movement_distance_pixels,average_movement_pixels
1,1,75,74,2.47,146.77,2.01
2,1,75,74,2.47,160.38,2.2
3,1,2,2,0.07,51.44,51.44
4,1,75,75,2.5,35.57,0.48
5,1,75,75,2.5,72.94,0.99
6,1,31,27,0.9,95.61,3.68
7,1,31,5,0.17,170.3,42.58
8,1,75,70,2.33,118.54,1.72
9,1,43,8,0.27,300.57,42.94
10,1,30,8,0.27,268.15,38.31
11,1,34,7,0.23,297.82,49.64
12,1,26,16,0.53,169.33,11.29
13,1,75,26,0.87,18.12,0.72
14,1,75,52,1.73,33.73,0.66
15,1,75,39,1.3,129.14,3.4
16,1,2,2,0.07,42.97,42.97
17,1,21,4,0.13,77.91,25.97
18,5,7,2,0.07,23.9,23.9
19,6,16,4,0.13,71.97,23.99
20,8,10,2,0.07,43.94,43.94
21,12,14,2,0.07,12.96,12.96
22,18,21,2,0.07,0.95,0.95
23,22,29,8,0.27,1543.63,220.52
24,23,53,22,0.73,481.35,22.92
25,23,66,12,0.4,517.06,47.01
26,27,58,5,0.17,53.05,13.26
27,31,39,2,0.07,16.02,16.02
28,31,63,4,0.13,92.93,30.98
29,54,54,1,0.03,0.0,0.0
30,37,37,1,0.03,0.0,0.0
31,39,54,15,0.5,442.15,31.58
32,41,41,1,0.03,0.0,0.0
33,41,41,1,0.03,0.0,0.0
34,46,73,13,0.43,133.18,11.1
35,47,55,2,0.07,43.32,43.32
36,49,54,2,0.07,45.42,45.42
37,49,72,5,0.17,174.42,43.6
38,50,68,4,0.13,153.95,51.32
39,52,71,5,0.17,518.95,129.74
40,54,75,3,0.1,94.63,47.31
41,56,70,2,0.07,31.73,31.73
42,57,73,11,0.37,21.73,2.17
43,58,71,4,0.13,1.86,0.62
44,58,74,7,0.23,17.78,2.96
45,59,60,2,0.07,40.66,40.66
46,65,65,1,0.03,0.0,0.0
47,68,69,2,0.07,33.2,33.2
48,70,70,1,0.03,0.0,0.0
49,71,73,3,0.1,80.68,40.34
50,71,73,3,0.1,66.14,33.07
51,75,75,1,0.03,0.0,0.0
52,75,75,1,0.03,0.0,0.0
