frame_index,candidate_track_id,review_track_id,class_name,x1,y1,x2,y2,confidence,reviewed,keep,notes
0,1,1,person,160.69,128.17,265.76,295.5,0.849709,False,True,
0,2,2,person,6.06,115.55,169.0,313.72,0.828725,False,True,
0,3,3,person,590.62,198.03,639.88,301.09,0.486006,False,True,
0,4,4,bus,0.81,63.48,636.02,263.63,0.367537,False,True,
5,2,2,person,0.06,113.6,155.43,316.04,0.87832,False,True,
5,1,1,person,144.4,128.57,250.53,294.92,0.773558,False,True,
5,5,5,car,0.12,64.32,631.24,278.11,0.621481,False,True,
5,6,6,person,563.86,139.93,639.67,302.41,0.431558,False,True,
10,2,2,person,0.07,113.11,138.71,316.33,0.882077,False,True,
10,1,1,person,129.03,127.69,234.12,295.67,0.828279,False,True,
10,7,7,person,558.9,125.76,639.64,300.51,0.665674,False,True,
10,4,4,bus,1.97,62.86,640.0,260.88,0.568893,False,True,
15,2,2,person,0.28,111.64,129.65,316.92,0.867423,False,True,
15,7,7,person,518.21,125.39,639.65,300.63,0.843658,False,True,
15,1,1,person,121.24,128.0,225.95,295.93,0.841619,False,True,
15,4,4,bus,1.8,62.36,639.8,261.58,0.59598,False,True,
20,2,2,person,0.29,112.96,128.52,317.03,0.865449,False,True,
20,1,1,person,120.36,127.47,226.31,295.96,0.860449,False,True,
20,7,7,person,536.67,125.33,639.68,300.56,0.794258,False,True,
20,4,4,bus,1.76,63.06,639.87,262.63,0.548258,False,True,
25,2,2,person,0.18,114.49,132.2,315.17,0.8668,False,True,
25,7,7,person,521.36,127.49,639.62,300.3,0.813393,False,True,
25,1,1,person,124.97,128.46,228.27,295.71,0.790017,False,True,
25,4,4,bus,1.51,63.03,640.0,265.64,0.617503,False,True,
30,2,2,person,0.08,112.85,146.0,315.57,0.869566,False,True,
30,1,1,person,136.57,127.37,241.45,296.58,0.828828,False,True,
30,7,7,person,534.08,113.47,639.87,300.73,0.603184,False,True,
30,8,8,person,563.8,141.04,639.87,301.32,0.503216,False,True,
30,4,4,bus,4.86,63.67,639.92,260.42,0.449644,False,True,
35,2,2,person,2.66,114.51,160.81,313.66,0.844227,False,True,
35,1,1,person,152.98,127.87,258.06,295.9,0.84413,False,True,
40,2,2,person,15.57,112.67,176.5,315.55,0.854139,False,True,
40,1,1,person,169.0,127.18,273.74,296.33,0.809981,False,True,
40,4,4,car,3.81,64.97,636.15,271.89,0.502824,False,True,
40,9,9,bus,0.66,63.76,638.55,263.06,0.420897,False,True,
45,1,1,person,184.51,127.22,290.42,295.78,0.854731,False,True,
45,2,2,person,31.35,115.13,192.6,315.71,0.831562,False,True,
45,4,4,car,0.21,63.66,638.84,274.55,0.681752,False,True,
45,10,10,person,0.04,202.62,55.01,302.91,0.421344,False,True,
50,2,2,person,41.18,115.82,199.15,315.11,0.872873,False,True,
50,1,1,person,195.56,127.75,299.89,295.63,0.849256,False,True,
50,9,9,car,0.0,63.28,640.0,272.96,0.684986,False,True,
50,10,10,person,0.07,181.99,64.47,303.99,0.419215,False,True,
55,1,1,person,198.81,128.23,303.3,295.9,0.85273,False,True,
55,2,2,person,46.15,118.48,206.97,315.99,0.833176,False,True,
55,9,9,car,1.86,63.4,640.0,266.26,0.603348,False,True,
55,10,10,person,0.01,183.72,67.44,304.35,0.505093,False,True,
55,4,4,bus,18.53,64.29,638.21,258.84,0.354335,False,True,
60,2,2,person,42.85,118.56,197.46,314.27,0.853798,False,True,
60,1,1,person,197.45,127.12,302.54,295.61,0.846108,False,True,
60,9,9,car,0.08,63.28,640.0,265.01,0.618415,False,True,
60,10,10,person,0.02,184.12,66.76,304.84,0.551339,False,True,
65,2,2,person,33.24,114.61,195.23,314.79,0.855616,False,True,
65,1,1,person,186.07,127.57,291.14,295.78,0.84759,False,True,
65,4,4,bus,8.16,63.2,638.76,264.14,0.50486,False,True,
65,10,10,person,0.08,195.51,56.52,302.8,0.479079,False,True,
65,9,9,car,0.0,64.11,637.11,272.08,0.413968,False,True,
70,2,2,person,22.28,123.36,174.52,314.28,0.854998,False,True,
70,1,1,person,170.87,127.92,278.27,295.49,0.82275,False,True,
70,9,9,car,1.54,64.63,636.21,276.19,0.6404,False,True,
