frame,time_seconds,tracker_id,class_name,confidence,x1,y1,x2,y2
1,0.04,0,car,0.8408,976.37,419.77,1069.69,494.94
1,0.04,1,car,0.668,476.94,360.66,540.9,414.2
1,0.04,2,truck,0.5882,313.81,301.09,412.86,436.93
2,0.08,0,car,0.7717,966.6,416.87,1060.12,489.33
2,0.08,2,bus,0.5843,313.54,300.98,412.62,439.72
2,0.08,1,car,0.5285,476.39,361.85,541.64,415.62
3,0.12,0,car,0.8484,961.62,413.76,1054.3,485.77
3,0.12,2,bus,0.6385,312.5,302.22,412.31,441.56
3,0.12,1,car,0.5906,475.06,366.94,541.5,417.7
4,0.16,0,car,0.7348,955.77,409.71,1044.88,480.56
4,0.16,2,bus,0.6578,310.27,303.09,413.42,444.83
4,0.16,1,car,0.5963,476.08,368.08,542.57,421.32
5,0.2,0,car,0.8165,951.26,406.31,1039.32,475.69
5,0.2,2,bus,0.6091,308.34,303.38,414.51,446.48
5,0.2,1,car,0.5334,477.51,370.9,542.47,425.61
6,0.24,0,car,0.7604,945.11,401.48,1031.84,470.86
6,0.24,2,truck,0.607,304.71,306.36,409.52,450.22
6,0.24,1,car,0.6891,475.68,374.59,541.03,429.39
7,0.28,0,car,0.8349,941.03,399.95,1025.07,466.82
7,0.28,1,car,0.6815,473.86,375.34,541.56,431.81
7,0.28,2,truck,0.5841,299.74,308.77,406.39,452.29
8,0.32,0,car,0.8578,935.78,396.42,1019.65,462.66
8,0.32,1,car,0.6052,470.47,375.22,541.18,436.08
8,0.32,2,truck,0.5057,297.53,309.11,403.27,454.86
9,0.36,0,car,0.765,928.82,393.79,1012.43,456.95
9,0.36,2,truck,0.5551,297.75,308.83,406.28,457.58
9,0.36,1,car,0.5894,472.22,381.12,541.81,439.19
10,0.4,0,car,0.7613,924.74,390.2,1006.53,454.62
10,0.4,1,car,0.6872,470.48,385.16,542.48,443.24
10,0.4,2,truck,0.5383,294.18,310.24,403.98,460.8
11,0.44,0,car,0.809,920.35,385.86,1001.34,451.11
11,0.44,1,car,0.725,468.58,386.08,542.59,445.8
11,0.44,2,bus,0.4155,292.7,311.89,401.78,463.08
12,0.48,0,car,0.7488,916.47,384.23,993.95,447.71
12,0.48,1,car,0.7136,468.23,392.71,542.34,450.72
12,0.48,2,bus,0.5808,291.61,313.59,399.29,465.76
13,0.52,0,car,0.7921,911.59,381.33,990.73,442.6
13,0.52,2,bus,0.6336,291.14,314.75,397.41,467.17
13,0.52,1,car,0.682,468.22,393.01,542.52,453.52
14,0.56,0,car,0.7714,906.57,379.48,984.23,439.65
14,0.56,1,car,0.7396,467.95,394.83,542.05,458.47
14,0.56,2,bus,0.5629,288.92,315.92,397.53,469.52
15,0.6,0,car,0.7796,902.32,376.59,978.24,436.71
15,0.6,2,truck,0.653,286.21,316.71,395.96,473.15
15,0.6,1,car,0.667,465.56,401.05,541.59,461.45
16,0.64,0,car,0.7544,896.49,371.31,972.1,432.89
16,0.64,1,car,0.6524,464.85,401.66,542.4,466.55
16,0.64,2,truck,0.4618,283.81,317.45,394.97,476.13
17,0.68,0,car,0.8402,894.63,369.41,968.4,430.18
17,0.68,1,car,0.6707,463.78,407.0,541.21,470.81
17,0.68,2,bus,0.3677,281.15,317.77,394.24,480.07
18,0.72,0,car,0.8473,890.16,369.0,961.61,425.86
18,0.72,2,truck,0.6464,278.21,319.21,393.65,483.44
18,0.72,1,car,0.6889,462.45,410.29,541.84,476.39
19,0.76,0,car,0.8013,887.66,366.78,957.32,423.74
19,0.76,2,truck,0.6816,276.15,320.02,393.06,484.7
19,0.76,1,car,0.6697,462.85,414.1,542.26,479.89
20,0.8,0,car,0.8007,880.9,362.46,954.17,420.57
20,0.8,2,truck,0.6319,274.22,321.37,391.53,488.46
20,0.8,1,car,0.6429,461.01,420.01,540.54,484.54
21,0.84,0,car,0.8152,878.88,362.26,948.02,417.97
21,0.84,2,truck,0.6182,270.77,323.32,390.09,493.15
21,0.84,1,car,0.6593,458.65,424.72,541.21,489.25
22,0.88,0,car,0.7638,873.67,359.7,942.97,415.14
22,0.88,1,car,0.734,459.96,427.29,540.54,494.46
22,0.88,2,truck,0.5638,269.32,324.14,388.08,495.9
22,0.88,3,car,0.4488,482.96,385.64,544.17,451.74
23,0.92,0,car,0.7362,871.43,354.72,940.83,411.18
23,0.92,2,truck,0.6531,266.19,326.3,387.74,499.7
23,0.92,1,car,0.6771,458.48,430.47,539.92,501.02
23,0.92,3,car,0.6237,479.19,390.2,546.26,455.06
24,0.96,0,car,0.7845,866.57,353.05,934.62,408.15
24,0.96,2,truck,0.6631,263.72,327.95,386.53,503.97
24,0.96,1,car,0.6687,456.27,434.33,539.33,505.95
24,0.96,3,car,0.5783,480.93,391.85,545.54,459.0
25,1.0,0,car,0.7316,861.88,352.78,929.49,406.6
25,1.0,2,truck,0.619,260.97,329.38,385.0,506.56
25,1.0,1,car,0.8317,455.37,440.3,538.45,511.63
25,1.0,3,car,0.6537,479.56,396.27,545.73,462.16
26,1.04,0,car,0.7757,857.01,351.53,925.62,403.72
26,1.04,2,bus,0.672,256.98,329.06,384.13,511.73
26,1.04,1,car,0.7496,450.99,444.1,538.41,517.43
26,1.04,3,car,0.4952,476.82,399.79,544.92,470.93
27,1.08,0,car,0.7002,856.02,347.85,922.47,400.6
27,1.08,2,bus,0.6419,254.49,331.08,382.8,515.67
27,1.08,1,car,0.71,448.58,447.7,537.64,524.05
27,1.08,3,car,0.65,474.76,403.39,546.45,474.78
28,1.12,0,car,0.7167,853.73,346.95,917.61,399.21
28,1.12,2,bus,0.6474,251.82,333.23,381.23,518.56
28,1.12,1,car,0.7818,449.13,455.58,538.06,528.98
28,1.12,3,car,0.7658,474.93,406.96,545.79,479.02
29,1.16,0,car,0.8191,850.61,345.64,913.45,396.08
29,1.16,2,bus,0.7666,249.21,335.61,379.77,521.0
29,1.16,1,car,0.6986,445.42,458.27,537.53,536.44
29,1.16,3,car,0.7345,475.91,410.9,545.67,484.88
29,1.16,4,truck,0.6169,247.4,335.18,380.92,519.79
30,1.2,0,car,0.8063,847.21,343.28,910.45,392.91
30,1.2,2,bus,0.6636,245.35,338.13,378.8,526.06
30,1.2,1,car,0.7165,443.25,464.16,536.8,542.66
30,1.2,3,car,0.6975,474.01,415.15,545.67,489.11
30,1.2,4,truck,0.6746,244.38,336.71,379.77,524.99
31,1.24,0,car,0.7981,844.56,340.27,906.67,391.34
31,1.24,2,truck,0.6334,240.09,338.12,376.71,531.34
31,1.24,1,car,0.8409,442.42,470.36,536.8,550.22
31,1.24,3,car,0.6745,471.01,417.8,545.73,494.9
31,1.24,4,bus,0.5201,240.53,340.04,375.68,530.98
32,1.28,0,car,0.8105,841.69,338.78,903.07,389.2
32,1.28,2,truck,0.6135,237.28,340.92,375.24,534.0
32,1.28,1,car,0.7811,442.72,474.93,535.02,556.16
32,1.28,3,car,0.6453,469.27,422.11,544.57,502.13
32,1.28,4,bus,0.5724,237.3,342.02,374.21,533.42
33,1.32,0,car,0.8076,840.5,337.98,896.98,386.28
33,1.32,2,truck,0.6718,233.41,343.35,373.15,539.85
33,1.32,1,car,0.7659,439.35,480.92,535.13,562.36
33,1.32,3,car,0.8144,466.0,427.29,545.35,505.48
33,1.32,4,bus,0.4701,233.64,343.75,372.64,539.24
34,1.36,0,car,0.8481,838.06,337.24,895.83,384.47
34,1.36,1,car,0.7881,434.11,488.01,534.93,573.07
34,1.36,4,truck,0.6474,229.28,345.53,370.57,544.69
34,1.36,3,car,0.4995,463.81,431.57,545.84,517.45
35,1.4,0,car,0.6964,832.51,335.93,890.78,382.17
35,1.4,2,truck,0.6407,224.84,346.51,369.31,548.8
35,1.4,1,car,0.7459,428.27,494.06,533.53,582.92
35,1.4,3,car,0.5693,465.03,434.02,543.4,522.95
36,1.44,0,car,0.7066,831.56,331.84,887.36,379.78
36,1.44,2,truck,0.6468,221.6,347.4,367.39,551.83
36,1.44,1,car,0.7985,431.24,500.54,532.08,587.75
36,1.44,3,car,0.588,463.65,439.24,543.6,527.78
37,1.48,0,car,0.7983,826.04,330.86,883.39,377.23
37,1.48,2,bus,0.6202,218.97,348.62,364.26,557.15
37,1.48,1,car,0.7618,427.65,506.07,532.16,598.84
37,1.48,5,car,0.7553,1206.64,577.56,1279.28,691.55
37,1.48,3,car,0.5966,461.19,446.4,545.47,535.71
37,1.48,4,truck,0.4879,217.69,349.34,365.33,555.55
38,1.52,0,car,0.8491,823.01,329.35,880.83,375.3
38,1.52,2,bus,0.6186,213.48,351.21,362.69,562.96
38,1.52,1,car,0.7256,422.33,513.61,530.81,607.22
38,1.52,3,car,0.7308,459.35,450.02,543.64,539.42
38,1.52,5,car,0.7984,1192.85,566.9,1279.31,680.23
39,1.56,0,car,0.8442,821.82,328.3,879.05,374.9
